Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Lund;53430;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1766-12-01 00:00:01;1767-01-01 00:00:00;1766-12;-0.9;G
1767-01-01 00:00:01;1767-02-01 00:00:00;1767-01;-6.1;G
1767-02-01 00:00:01;1767-03-01 00:00:00;1767-02;-0.6;G
1767-03-01 00:00:01;1767-04-01 00:00:00;1767-03;2.1;G
1767-04-01 00:00:01;1767-05-01 00:00:00;1767-04;2.7;G
1767-05-01 00:00:01;1767-06-01 00:00:00;1767-05;9.8;G
1767-06-01 00:00:01;1767-07-01 00:00:00;1767-06;13.9;G
1767-07-01 00:00:01;1767-08-01 00:00:00;1767-07;16.4;G
1767-08-01 00:00:01;1767-09-01 00:00:00;1767-08;17.3;G
1767-09-01 00:00:01;1767-10-01 00:00:00;1767-09;15.0;G
1767-10-01 00:00:01;1767-11-01 00:00:00;1767-10;8.9;G
1767-11-01 00:00:01;1767-12-01 00:00:00;1767-11;6.4;G
1767-12-01 00:00:01;1768-01-01 00:00:00;1767-12;0.4;G
1768-01-01 00:00:01;1768-02-01 00:00:00;1768-01;-5.5;G
1768-02-01 00:00:01;1768-03-01 00:00:00;1768-02;-3.1;G
1768-03-01 00:00:01;1768-04-01 00:00:00;1768-03;-2.4;G
1768-04-01 00:00:01;1768-05-01 00:00:00;1768-04;5.1;G
1768-05-01 00:00:01;1768-06-01 00:00:00;1768-05;10.7;G
1768-06-01 00:00:01;1768-07-01 00:00:00;1768-06;16.3;G
1768-07-01 00:00:01;1768-08-01 00:00:00;1768-07;17.9;G
1768-08-01 00:00:01;1768-09-01 00:00:00;1768-08;17.1;G
1768-09-01 00:00:01;1768-10-01 00:00:00;1768-09;12.5;G
1768-10-01 00:00:01;1768-11-01 00:00:00;1768-10;8.2;G
1768-11-01 00:00:01;1768-12-01 00:00:00;1768-11;4.9;G
1768-12-01 00:00:01;1769-01-01 00:00:00;1768-12;2.1;G
1769-01-01 00:00:01;1769-02-01 00:00:00;1769-01;0.6;G
1769-02-01 00:00:01;1769-03-01 00:00:00;1769-02;-0.5;G
1769-03-01 00:00:01;1769-04-01 00:00:00;1769-03;2.3;G
1769-04-01 00:00:01;1769-05-01 00:00:00;1769-04;5.7;G
1769-05-01 00:00:01;1769-06-01 00:00:00;1769-05;11.3;G
1769-06-01 00:00:01;1769-07-01 00:00:00;1769-06;15.6;G
1769-07-01 00:00:01;1769-08-01 00:00:00;1769-07;17.6;G
1769-08-01 00:00:01;1769-09-01 00:00:00;1769-08;15.9;G
1769-09-01 00:00:01;1769-10-01 00:00:00;1769-09;13.6;G
1769-10-01 00:00:01;1769-11-01 00:00:00;1769-10;5.2;G
1769-11-01 00:00:01;1769-12-01 00:00:00;1769-11;2.6;G
1769-12-01 00:00:01;1770-01-01 00:00:00;1769-12;3.2;G
1770-01-01 00:00:01;1770-02-01 00:00:00;1770-01;-2.3;G
1770-02-01 00:00:01;1770-03-01 00:00:00;1770-02;0.0;G
