Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Lund;53430;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;millimeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1758-03-01 07:00:01;1758-04-01 07:00:00;1758-03;26.0;Y
1758-04-01 07:00:01;1758-05-01 07:00:00;1758-04;18.0;Y
1758-05-01 07:00:01;1758-06-01 07:00:00;1758-05;2.0;Y
1758-06-01 07:00:01;1758-07-01 07:00:00;1758-06;24.0;Y
1758-07-01 07:00:01;1758-08-01 07:00:00;1758-07;88.0;Y
1758-08-01 07:00:01;1758-09-01 07:00:00;1758-08;29.0;Y
1758-09-01 07:00:01;1758-10-01 07:00:00;1758-09;60.0;Y
1758-10-01 07:00:01;1758-11-01 07:00:00;1758-10;38.0;Y
1758-11-01 07:00:01;1758-12-01 07:00:00;1758-11;19.0;Y
1758-12-01 07:00:01;1759-01-01 07:00:00;1758-12;78.0;Y
1759-01-01 07:00:01;1759-02-01 07:00:00;1759-01;52.0;Y
1759-02-01 07:00:01;1759-03-01 07:00:00;1759-02;13.0;Y
1759-03-01 07:00:01;1759-04-01 07:00:00;1759-03;36.0;Y
1759-04-01 07:00:01;1759-05-01 07:00:00;1759-04;28.0;Y
1759-05-01 07:00:01;1759-06-01 07:00:00;1759-05;19.0;Y
1759-06-01 07:00:01;1759-07-01 07:00:00;1759-06;44.0;Y
1759-07-01 07:00:01;1759-08-01 07:00:00;1759-07;4.0;Y
1759-08-01 07:00:01;1759-09-01 07:00:00;1759-08;21.0;Y
1759-09-01 07:00:01;1759-10-01 07:00:00;1759-09;66.0;Y
1759-10-01 07:00:01;1759-11-01 07:00:00;1759-10;46.0;Y
1759-11-01 07:00:01;1759-12-01 07:00:00;1759-11;37.0;Y
1759-12-01 07:00:01;1760-01-01 07:00:00;1759-12;25.0;Y
1760-01-01 07:00:01;1760-02-01 07:00:00;1760-01;27.0;Y
1760-02-01 07:00:01;1760-03-01 07:00:00;1760-02;21.0;Y
1760-03-01 07:00:01;1760-04-01 07:00:00;1760-03;27.0;Y
1760-04-01 07:00:01;1760-05-01 07:00:00;1760-04;17.0;Y
1760-05-01 07:00:01;1760-06-01 07:00:00;1760-05;18.0;Y
1760-06-01 07:00:01;1760-07-01 07:00:00;1760-06;87.0;Y
1760-07-01 07:00:01;1760-08-01 07:00:00;1760-07;40.0;Y
1760-08-01 07:00:01;1760-09-01 07:00:00;1760-08;47.0;Y
1760-09-01 07:00:01;1760-10-01 07:00:00;1760-09;83.0;Y
1760-10-01 07:00:01;1760-11-01 07:00:00;1760-10;120.0;Y
1760-11-01 07:00:01;1760-12-01 07:00:00;1760-11;57.0;Y
1760-12-01 07:00:01;1761-01-01 07:00:00;1760-12;65.0;Y
1761-01-01 07:00:01;1761-02-01 07:00:00;1761-01;14.0;Y
1761-02-01 07:00:01;1761-03-01 07:00:00;1761-02;59.0;Y
1761-03-01 07:00:01;1761-04-01 07:00:00;1761-03;14.0;Y
1761-04-01 07:00:01;1761-05-01 07:00:00;1761-04;37.0;Y
1761-05-01 07:00:01;1761-06-01 07:00:00;1761-05;42.0;Y
1761-06-01 07:00:01;1761-07-01 07:00:00;1761-06;12.0;Y
1761-07-01 07:00:01;1761-08-01 07:00:00;1761-07;87.0;Y
1761-08-01 07:00:01;1761-09-01 07:00:00;1761-08;38.0;Y
1761-09-01 07:00:01;1761-10-01 07:00:00;1761-09;81.0;Y
1761-10-01 07:00:01;1761-11-01 07:00:00;1761-10;89.0;Y
1761-11-01 07:00:01;1761-12-01 07:00:00;1761-11;64.0;Y
1761-12-01 07:00:01;1762-01-01 07:00:00;1761-12;8.0;Y
1762-01-01 07:00:01;1762-02-01 07:00:00;1762-01;29.0;Y
1762-02-01 07:00:01;1762-03-01 07:00:00;1762-02;58.0;Y
1762-03-01 07:00:01;1762-04-01 07:00:00;1762-03;13.0;Y
1762-04-01 07:00:01;1762-05-01 07:00:00;1762-04;13.0;Y
